INFO 2021-11-09 14:46:09,187 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-09 14:46:38,341 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-09 14:47:03,460 autoreload 637 Watching for file changes with StatReloader
WARNING 2021-11-09 14:47:04,847 log 224 Not Found: /
WARNING 2021-11-09 14:47:04,847 basehttp 161 "GET / HTTP/1.1" 404 2167
INFO 2021-11-09 14:47:15,284 urls 23 日志器配置成功
INFO 2021-11-09 14:47:15,286 basehttp 161 "GET /logging HTTP/1.1" 200 18
INFO 2021-11-09 14:53:30,670 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\blog_hm\settings.py changed, reloading.
INFO 2021-11-09 14:53:33,493 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-09 14:54:44,248 autoreload 251 C:\Users\Administrator\Desktop\blog_hm\blog_hm\urls.py changed, reloading.
INFO 2021-11-09 14:54:46,510 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-09 14:54:53,501 basehttp 161 "GET /index/ HTTP/1.1" 200 12130
WARNING 2021-11-09 14:54:53,591 basehttp 161 "GET /static/static/common/jquery.pagination.css HTTP/1.1" 404 1864
WARNING 2021-11-09 14:54:53,592 basehttp 161 "GET /static/static/js/vue-2.5.16.js HTTP/1.1" 404 1828
WARNING 2021-11-09 14:54:53,593 basehttp 161 "GET /static/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1873
WARNING 2021-11-09 14:54:53,594 basehttp 161 "GET /static/static/md_css/monokai.css HTTP/1.1" 404 1834
WARNING 2021-11-09 14:54:53,596 basehttp 161 "GET /static/static/img/1.jpg HTTP/1.1" 404 1807
WARNING 2021-11-09 14:54:53,599 basehttp 161 "GET /static/static/common/common.css HTTP/1.1" 404 1831
WARNING 2021-11-09 14:54:53,624 basehttp 161 "GET /static/static/js/host.js HTTP/1.1" 404 1810
WARNING 2021-11-09 14:54:53,624 basehttp 161 "GET /static/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 1849
